time,result
2024-12-11 02:55:33,lose
2024-12-11 02:57:04,lose
2024-12-11 02:58:33,win
2024-12-11 03:00:06,win
2024-12-11 03:01:33,lose
2024-12-11 03:03:03,win
2024-12-11 03:04:33,win
2024-12-11 03:06:08,lose
2024-12-11 03:07:37,lose
2024-12-11 03:09:08,win
2024-12-11 03:10:38,win
2024-12-11 03:12:07,lose
2024-12-11 03:13:38,win
2024-12-11 03:15:07,win
2024-12-11 03:16:33,lose
2024-12-11 03:18:04,win
2024-12-11 03:19:32,lose
2024-12-11 03:21:02,lose
2024-12-11 03:22:33,lose
2024-12-11 03:24:02,win
2024-12-11 03:25:33,lose
2024-12-11 03:27:03,win
2024-12-11 03:28:32,win
2024-12-11 03:30:01,win
2024-12-11 03:31:38,win
2024-12-11 03:33:08,win
2024-12-11 03:34:38,win
2024-12-11 03:36:03,lose
2024-12-11 03:37:33,win
2024-12-11 03:39:04,lose
2024-12-11 03:40:37,win
2024-12-11 03:42:08,lose
2024-12-11 03:43:33,win
2024-12-11 03:45:09,lose
2024-12-11 03:46:33,win
2024-12-11 03:48:03,lose
2024-12-11 03:49:33,win
2024-12-11 03:51:03,win
2024-12-11 03:52:32,lose
2024-12-11 03:54:03,win
2024-12-11 03:55:32,win
2024-12-11 03:57:03,win
2024-12-11 03:58:32,win
2024-12-11 04:00:07,win
2024-12-11 04:01:37,lose
2024-12-11 04:03:03,win
2024-12-11 04:04:37,win
2024-12-11 04:06:04,lose
2024-12-11 04:07:38,win
2024-12-11 04:09:07,lose
2024-12-11 04:10:37,win
2024-12-11 04:12:08,lose
2024-12-11 04:13:37,lose
2024-12-11 04:15:02,win
2024-12-11 04:16:32,win
2024-12-11 04:18:02,lose
2024-12-11 04:19:32,lose
2024-12-11 04:21:07,lose
2024-12-11 04:22:32,win
2024-12-11 04:24:01,win
2024-12-11 04:25:32,lose
2024-12-11 04:27:07,win
2024-12-11 04:28:37,lose
2024-12-11 04:30:07,lose
2024-12-11 04:31:36,win
2024-12-11 04:33:03,lose
2024-12-11 04:34:38,lose
2024-12-11 04:36:04,lose
2024-12-11 04:37:38,lose
2024-12-11 04:39:08,win
2024-12-11 04:40:37,lose
2024-12-11 04:42:08,win
2024-12-11 04:43:37,lose
2024-12-11 04:45:03,lose
2024-12-11 04:46:32,lose
2024-12-11 04:48:04,lose
2024-12-11 04:49:32,lose
2024-12-11 04:51:02,win
2024-12-11 04:52:36,lose
2024-12-11 04:54:02,win
2024-12-11 04:55:33,lose
2024-12-11 04:57:03,lose
2024-12-11 04:58:37,win
2024-12-11 05:00:06,win
2024-12-11 05:01:33,win
2024-12-11 05:03:08,win
2024-12-11 05:04:37,win
2024-12-11 05:06:07,lose
2024-12-11 05:07:37,win
2024-12-11 05:09:03,lose
2024-12-11 05:10:33,win
2024-12-11 05:12:08,win
2024-12-11 05:13:37,win
2024-12-11 05:15:03,lose
2024-12-11 05:16:32,win
2024-12-11 05:18:04,win
2024-12-11 05:19:37,lose
2024-12-11 05:21:07,win
2024-12-11 05:22:32,lose
2024-12-11 05:24:03,win
2024-12-11 05:25:32,win
2024-12-11 05:27:02,win
2024-12-11 05:28:38,win
2024-12-11 05:30:07,lose
2024-12-11 05:31:36,win
2024-12-11 05:33:03,lose
2024-12-11 05:34:37,win
2024-12-11 05:36:02,win
2024-12-11 05:37:39,lose
2024-12-11 05:39:08,lose
2024-12-11 05:40:37,lose
2024-12-11 05:42:03,lose
2024-12-11 05:43:32,lose
2024-12-11 05:43:40,lose
2024-12-11 05:45:03,win
2024-12-11 05:46:37,lose
2024-12-11 05:48:03,win
2024-12-11 05:49:33,lose
2024-12-11 05:51:03,lose
2024-12-11 05:52:32,lose
2024-12-11 05:54:08,win
2024-12-11 05:55:33,lose
2024-12-11 05:57:07,win
2024-12-11 05:58:33,win
2024-12-11 06:00:02,lose
2024-12-11 06:01:39,win
2024-12-11 06:03:03,lose
2024-12-11 06:04:36,lose
2024-12-11 06:06:03,win
2024-12-11 06:07:39,lose
2024-12-11 06:09:09,lose
2024-12-11 06:10:38,win
2024-12-11 06:12:08,win
2024-12-11 06:13:32,lose
2024-12-11 06:15:02,win
2024-12-11 06:16:32,lose
2024-12-11 06:18:04,win
2024-12-11 06:19:32,win
2024-12-11 06:21:03,lose
2024-12-11 06:22:37,lose
2024-12-11 06:24:03,win
2024-12-11 06:25:37,win
2024-12-11 06:27:03,win
2024-12-11 06:28:33,win
2024-12-11 06:30:07,win
2024-12-11 06:31:37,win
2024-12-11 06:33:04,lose
2024-12-11 06:34:37,win
2024-12-11 06:36:07,win
2024-12-11 06:37:39,lose
2024-12-11 06:39:09,win
2024-12-11 06:40:38,lose
2024-12-11 06:42:04,lose
2024-12-11 06:43:32,lose
2024-12-11 06:45:02,win
2024-12-11 06:46:32,lose
2024-12-11 06:48:03,win
